Brand,Category,Color,Size,Material,Rating,Reviews,Discount,Stock,Price
H&M,T-shirt,Red,L,Polyester,3.5,727,58,160,958.52
Puma,T-shirt,Green,L,Wool,4.6,72,15,177,537.44
Nike,T-shirt,Black,S,Polyester,4.3,82,43,165,2451.12
Zara,Dress,Blue,S,Polyester,4.4,772,32,154,916.81
Adidas,T-shirt,White,L,Wool,2.5,645,9,14,3867.73
Zara,Shirt,Blue,XL,Polyester,3.5,384,21,60,4615.47
Adidas,Jacket,Green,XL,Denim,3.7,642,24,121,2453.09
Adidas,Shirt,Red,M,Cotton,2.5,517,45,20,1664.2
Zara,Shirt,Red,L,Cotton,3.1,796,50,45,2454.81
H&M,T-shirt,White,M,Cotton,4.4,952,16,196,3755.52
Adidas,Jacket,Red,XL,Cotton,2.8,407,10,133,540.74
Adidas,Jacket,Red,M,Wool,3.8,129,21,37,3152.54
Zara,Jacket,White,L,Cotton,3,943,55,61,3259.81
Adidas,Dress,White,L,Cotton,2.5,446,23,85,3369.6
Adidas,T-shirt,Green,L,Cotton,3.1,838,30,189,1589.1
Zara,Jacket,Red,S,Cotton,4.9,685,52,77,3713.24
Zara,Dress,Red,M,Denim,4.5,945,48,45,911.26
Nike,Jeans,Green,XL,Cotton,4.9,474,48,140,1396.72
H&M,Jeans,Black,XL,Denim,3.7,295,56,2,4448.62
H&M,Dress,Black,XL,Wool,2.8,274,36,5,3824.25
Adidas,Dress,Black,S,Polyester,3.9,329,10,92,561.85
H&M,T-shirt,Green,S,Cotton,3.6,682,59,7,1617.69
Adidas,T-shirt,Red,L,Polyester,4.6,385,40,171,1464.83
Nike,Jeans,Green,XL,Polyester,2.7,829,42,107,1718.63
Zara,Jacket,Green,S,Wool,3.7,98,15,160,1614.02
Zara,Jeans,Black,L,Polyester,2.9,663,37,74,781.37
Zara,Jacket,Blue,XL,Denim,3.3,212,28,76,2565.23
H&M,Jacket,Red,M,Polyester,4.3,830,27,49,3797.3
Nike,T-shirt,Black,L,Polyester,3.7,748,19,10,3230.29
H&M,Shirt,Blue,S,Polyester,3.4,964,31,94,3527.92
H&M,Shirt,Blue,S,Cotton,3.5,343,15,155,865.17
Nike,Dress,White,L,Cotton,3.6,231,55,69,4781.71
Nike,T-shirt,Red,L,Denim,4.5,50,54,168,4273.21
Nike,Jacket,Blue,S,Denim,4.7,717,21,15,4122.91
Nike,Shirt,Black,M,Cotton,4.9,77,55,67,4203.43
Zara,Jacket,White,XL,Denim,4.5,997,57,98,4697.2
Puma,Shirt,Red,M,Cotton,3.3,785,18,47,2949.14
Puma,Shirt,Green,L,Wool,4.2,523,31,183,1401.27
Nike,Shirt,Black,M,Polyester,3.6,882,22,63,3275.53
Puma,T-shirt,Blue,S,Polyester,3.1,646,32,186,3842.97
Puma,Jeans,Blue,L,Denim,4.6,631,55,89,3820.63
Nike,Jacket,Black,XL,Cotton,2.6,607,51,189,2846.52
Puma,T-shirt,Blue,S,Cotton,4.8,946,51,75,808.06
H&M,T-shirt,White,S,Denim,3.7,641,8,138,2170.01
Adidas,T-shirt,Red,XL,Cotton,4.1,136,11,100,4643.45
Adidas,T-shirt,White,XL,Wool,4.1,264,49,88,3130.02
Nike,T-shirt,Blue,M,Polyester,4.7,704,39,17,2922.49
Zara,Dress,Green,L,Denim,4.1,25,52,18,1709.84
Nike,Jacket,Red,XL,Denim,4,486,13,54,2158.02
Zara,T-shirt,Red,XL,Cotton,2.7,71,12,101,4529.06
Adidas,Jacket,Black,L,Denim,3.8,890,56,117,3499.08
Nike,Dress,Black,XL,Wool,2.9,441,49,153,4043.24
H&M,Dress,Green,XL,Cotton,4.3,679,21,133,2544.55
Puma,Jacket,Red,M,Cotton,3.8,277,21,3,3336.11
Zara,Shirt,Green,S,Cotton,4.2,44,53,107,1617.73
Puma,Jeans,Black,S,Cotton,2.6,788,37,114,3674.57
Puma,Shirt,Black,S,Wool,2.7,585,36,28,2424.21
Nike,Shirt,Red,S,Cotton,4.3,503,12,58,2491.45
Puma,Shirt,White,XL,Denim,2.7,571,23,124,3421.95
H&M,T-shirt,Blue,L,Wool,2.7,478,42,97,4713.26
Puma,Dress,Black,L,Polyester,2.5,776,7,16,788.03
Nike,Shirt,Black,M,Polyester,4.9,670,9,106,4211.34
H&M,Dress,White,M,Denim,4.3,334,17,42,1815.72
Adidas,Jacket,White,XL,Denim,3.4,313,51,79,2497.64
Puma,Jeans,Green,L,Wool,3.2,285,50,193,598.61
Nike,Jacket,Green,L,Polyester,3.4,878,35,161,1854.71
Adidas,Jacket,Blue,S,Polyester,4.4,972,59,7,2761.84
Adidas,T-shirt,Blue,XL,Polyester,4.2,693,20,140,752.79
Zara,Jeans,Red,XL,Polyester,3,938,54,105,2709.93
H&M,Jacket,Green,S,Polyester,2.9,210,36,7,4672
Puma,Jacket,Black,XL,Cotton,2.7,454,26,95,974.27
Nike,Jeans,Green,XL,Denim,4.2,914,33,93,3939.98
Zara,Jeans,Black,M,Cotton,4.4,333,26,64,2343.52
H&M,Jacket,White,L,Polyester,3.2,44,47,170,3448.28
Zara,Jeans,Green,XL,Wool,2.6,986,7,38,1671.06
H&M,Jacket,White,M,Wool,2.7,491,58,80,1217.72
H&M,Jacket,Blue,L,Polyester,4.9,737,14,186,1222.08
Puma,T-shirt,Blue,S,Polyester,3.2,489,46,83,817.21
H&M,Shirt,Red,M,Wool,4.4,74,25,87,1335.41
Zara,Jacket,Green,M,Cotton,4.1,17,20,85,3488.99
H&M,Dress,White,L,Cotton,3.5,310,16,92,4467.61
Puma,Shirt,Black,S,Polyester,3,352,6,85,4163.57
Puma,Shirt,Blue,M,Cotton,2.8,440,45,43,3583.1
Zara,Shirt,Blue,XL,Wool,4,433,28,136,996.94
Adidas,T-shirt,Black,XL,Cotton,4.4,341,39,164,1801.34
Adidas,Jacket,White,XL,Polyester,4.1,447,34,73,1894.13
H&M,T-shirt,White,S,Wool,3.8,597,34,35,1624.81
Nike,Jacket,Green,M,Cotton,2.6,183,51,100,2817.53
H&M,T-shirt,Green,XL,Denim,4.9,568,39,155,2909.99
Zara,T-shirt,Red,S,Wool,4.5,536,23,169,2105.99
Zara,Dress,Blue,XL,Wool,3.2,882,54,170,2092.05
Zara,T-shirt,Green,L,Denim,4.9,668,12,169,4228.5
Zara,Jeans,White,M,Denim,4,35,30,103,4051.82
Zara,Dress,Black,M,Wool,4,829,53,65,1885.08
Puma,T-shirt,White,S,Denim,4.4,614,44,54,4612.05
Adidas,Shirt,Blue,S,Polyester,4.5,415,11,199,4787.67
Zara,Jeans,White,M,Polyester,4.1,241,34,175,1970.34
Nike,Jeans,Red,XL,Polyester,2.8,542,11,90,2094.91
Nike,Jeans,Blue,XL,Wool,3.3,828,7,21,2775.35
Nike,Dress,Black,L,Denim,4.8,559,5,100,4735.04
Nike,T-shirt,Red,XL,Denim,3.1,797,40,154,4443.44
Puma,T-shirt,Blue,S,Cotton,3.4,514,29,120,961.56
Nike,Shirt,Black,S,Cotton,3.6,678,41,92,2267.29
Zara,Shirt,Red,XL,Denim,3.6,188,5,194,2990.17
H&M,Jeans,Red,S,Denim,4,141,19,107,2764.1
Nike,Shirt,Blue,M,Denim,4.9,832,41,140,1372.38
Puma,Dress,Green,M,Wool,3.1,464,17,172,4364.68
Puma,T-shirt,Red,XL,Denim,2.8,357,44,9,3546.23
Nike,Jeans,Red,M,Cotton,3,549,12,8,4270.59
H&M,Shirt,Black,M,Wool,4.7,781,9,181,4364.44
Nike,Dress,White,L,Denim,4.1,415,13,154,3867.6
Puma,Dress,Blue,L,Cotton,3.2,85,5,33,2476.45
Adidas,Shirt,Blue,M,Wool,4.5,950,40,128,3247.46
Zara,T-shirt,Green,XL,Denim,4.7,588,39,159,1221.64
Puma,Shirt,Green,L,Denim,4.6,863,6,88,3531.4
Nike,Jeans,Blue,S,Denim,4.8,501,44,92,1306.64
Zara,Shirt,Green,S,Wool,3.1,203,27,70,3622.77
Nike,Dress,Black,S,Cotton,4.4,993,13,66,1533.19
Nike,Shirt,Blue,XL,Cotton,3.7,171,38,147,1028.98
Adidas,T-shirt,Green,M,Polyester,4.6,356,50,116,1243.78
Zara,Jacket,Blue,S,Denim,4.3,960,18,93,508.96
Zara,Shirt,White,XL,Polyester,4.4,370,8,162,3734.33
Adidas,T-shirt,Red,L,Polyester,4.1,778,34,98,3795.8
Puma,T-shirt,Blue,M,Cotton,2.9,593,35,112,2817.2
Nike,Dress,Red,L,Wool,3.9,96,42,102,1226.13
H&M,T-shirt,Green,XL,Wool,5,943,15,90,875.99
Nike,T-shirt,Red,S,Cotton,4.8,271,39,89,586.08
Nike,T-shirt,Blue,S,Wool,2.6,223,12,16,1245.87
Puma,T-shirt,White,XL,Polyester,2.9,674,7,17,4508.85
Nike,Jeans,Green,S,Denim,2.8,731,18,172,1586.92
Adidas,Jeans,Blue,M,Cotton,4.3,922,17,115,2094.22
Adidas,Dress,Green,XL,Denim,4.5,582,49,92,974.05
Zara,Shirt,Black,L,Wool,3,789,36,180,1500.63
H&M,T-shirt,Red,XL,Denim,3.8,271,38,90,2836.51
Nike,Shirt,Black,M,Wool,4.6,739,49,81,3234.89
Nike,Shirt,Blue,M,Wool,4.3,292,23,67,1604.09
Puma,Dress,White,XL,Polyester,3.9,657,42,192,759.79
Adidas,T-shirt,Green,XL,Wool,4,476,20,113,2259.65
H&M,T-shirt,Red,S,Polyester,3.8,389,6,0,1553.92
Zara,Jacket,Green,M,Polyester,3.2,371,44,57,1487.99
Adidas,Shirt,Blue,XL,Polyester,3.9,458,21,153,4819.38
Zara,Shirt,Green,XL,Cotton,4.2,450,59,108,3273.35
Puma,Jeans,Red,M,Cotton,4.7,102,38,147,3005.95
Puma,Jacket,Blue,XL,Wool,4.1,630,46,115,2370.99
Nike,Jeans,Green,S,Polyester,4.4,762,20,86,2430.25
H&M,Jeans,White,M,Cotton,2.9,876,42,9,2934.07
Zara,Jeans,Blue,S,Polyester,3.7,433,6,58,3633.93
Adidas,Dress,Blue,S,Denim,2.5,151,6,40,3659.66
Puma,Dress,White,S,Denim,3.1,300,30,104,1272.62
Nike,Jeans,Black,S,Denim,4.3,441,17,132,2750.51
Nike,Jacket,Red,M,Wool,5,758,51,121,2353.81
Zara,Shirt,Black,S,Polyester,2.7,861,35,192,4417.37
Puma,Jacket,Green,S,Denim,3.5,833,38,144,3341.39
H&M,T-shirt,White,XL,Cotton,4.5,698,43,21,2896.27
Puma,Dress,Black,M,Denim,3,662,7,97,1019.28
Zara,Shirt,Blue,M,Denim,3.9,710,12,168,3225.37
Zara,Shirt,Green,L,Denim,4.3,58,27,67,1027.42
Puma,T-shirt,Green,M,Wool,4,311,18,196,2017.43
Zara,T-shirt,Black,M,Cotton,3,890,59,138,1142.79
Puma,Jeans,Black,L,Polyester,3.4,199,31,55,3614.33
Adidas,Dress,White,M,Cotton,4.5,145,58,178,1428.13
Puma,Dress,Red,M,Polyester,3.9,564,33,148,2263.37
Puma,Jacket,Black,M,Wool,2.5,413,43,98,4530.54
Zara,Jeans,Black,M,Wool,4.4,901,57,75,1419.42
Zara,Jeans,Blue,L,Wool,2.6,874,43,25,2785.12
Nike,Jeans,Green,M,Wool,4.4,611,5,114,2386.72
Nike,Jeans,Red,M,Polyester,3,816,21,146,581.56
Adidas,Dress,Blue,L,Denim,4.9,350,45,108,4067.41
Nike,Dress,White,XL,Polyester,3.4,766,34,187,810.71
Puma,Jeans,White,S,Cotton,3.3,954,57,198,2634.15
Zara,Jacket,Black,XL,Wool,2.9,713,17,46,3023.05
Nike,Shirt,Black,L,Wool,3.3,327,25,70,3327.92
Nike,Shirt,White,S,Cotton,4.7,627,23,153,3598.84
Adidas,Jacket,Black,L,Polyester,5,372,57,39,1639.73
Adidas,Jeans,Red,L,Denim,3.4,831,23,132,544.9
Puma,Dress,Black,M,Denim,3.6,391,29,148,3755.5
Zara,Shirt,Green,S,Cotton,4.3,242,26,131,2910.45
Adidas,T-shirt,Black,M,Denim,4.7,786,35,22,4262.53
Nike,T-shirt,Blue,S,Polyester,4,353,21,105,4196.25
Zara,Jacket,Red,L,Polyester,3.5,558,59,83,4294.97
Zara,Jeans,Blue,L,Cotton,3.5,826,27,142,2682.93
Nike,Shirt,Blue,XL,Polyester,4.2,562,36,115,2001.33
Adidas,Jeans,Green,S,Wool,2.5,538,14,108,4062.01
Nike,Shirt,Red,M,Cotton,4,865,14,135,2530.82
Zara,Jacket,Red,XL,Polyester,3.4,798,40,40,1325.49
H&M,Jacket,Red,XL,Cotton,4.5,828,12,111,4347.38
H&M,T-shirt,Red,XL,Denim,2.7,580,58,146,4471.52
Puma,Jeans,Red,M,Polyester,4,944,56,111,2598.39
Nike,T-shirt,Green,XL,Wool,3.7,192,24,102,840.65
Nike,Jeans,Black,M,Polyester,4.1,50,36,45,2245.22
Puma,T-shirt,Blue,XL,Cotton,2.7,560,54,155,4115.92
Puma,Dress,Red,M,Cotton,3.9,406,18,67,4557.98
Puma,Dress,Black,L,Polyester,3.9,713,54,121,1415.63
Zara,Dress,Black,L,Wool,3.9,788,32,14,801.38
Nike,Dress,Blue,L,Wool,4,503,50,164,4448.08
Zara,Shirt,Green,L,Wool,4.2,668,56,128,2252.32
Puma,Dress,White,L,Cotton,4.5,916,57,194,2937.92
Nike,Jacket,White,XL,Polyester,3.2,342,28,110,4856.3
Zara,Jacket,Black,XL,Denim,4.6,136,19,23,799.54
Zara,Shirt,Blue,XL,Cotton,3.7,567,26,26,3417.43
Puma,Dress,White,M,Wool,2.7,566,34,39,833.47
Nike,Dress,Black,M,Polyester,2.6,10,8,190,2189.61
Puma,Dress,Green,M,Wool,3.3,177,17,188,4117.17
Nike,T-shirt,White,M,Denim,4.5,629,27,163,2450.63
H&M,Jeans,Black,L,Wool,4.3,28,12,23,4987.32
Adidas,T-shirt,Black,L,Wool,4.5,341,22,23,3015.77
Adidas,Jeans,Red,L,Denim,3.8,593,16,3,1945.23
Adidas,Dress,Green,S,Polyester,3.6,465,59,66,1490.5
Puma,Dress,Red,XL,Cotton,2.9,966,35,33,2077.34
H&M,T-shirt,Blue,M,Polyester,3.3,118,18,184,2176.4
Nike,T-shirt,Red,M,Denim,3.6,277,38,176,809.21
Zara,Jeans,Red,L,Wool,2.7,454,22,180,2163.08
Nike,Jacket,White,M,Polyester,3.1,249,38,115,2589.07
Zara,Jeans,Black,M,Cotton,4,938,15,22,3752.32
Nike,T-shirt,Green,XL,Denim,4.3,310,45,108,3455.28
H&M,T-shirt,Red,L,Polyester,5,611,16,68,3689.45
Zara,Shirt,Green,XL,Cotton,4.8,112,53,94,537.64
Puma,T-shirt,Red,S,Denim,4.1,997,19,180,1479.5
Nike,Shirt,Blue,S,Cotton,3.6,259,35,61,3477.58
Nike,Jacket,Red,S,Denim,4.1,462,53,168,2677.95
Zara,Jeans,White,L,Wool,4.5,529,33,56,523.91
Puma,Jeans,Black,M,Polyester,2.8,162,30,187,4120.23
Puma,Shirt,Blue,L,Cotton,3.5,868,22,53,3977.64
H&M,Jeans,Red,L,Denim,4.6,183,36,69,2967.89
Puma,T-shirt,Green,M,Cotton,3.5,352,26,100,799.08
Puma,Dress,Blue,XL,Cotton,3.9,679,42,56,3949.32
Puma,Shirt,Blue,S,Polyester,4,440,21,137,3126.71
Adidas,Jeans,Red,XL,Wool,3,736,27,167,4018.82
H&M,Shirt,Blue,S,Cotton,3.4,698,28,134,3882.86
Nike,Shirt,Green,L,Denim,3.3,696,54,102,4113.51
Zara,Dress,Blue,S,Denim,2.6,861,12,165,2831.04
Nike,T-shirt,Green,L,Wool,2.6,859,45,84,1131.46
H&M,Shirt,Red,XL,Denim,4.6,667,10,60,3520.21
Zara,Jeans,Black,L,Wool,3.2,971,9,2,3292.13
H&M,Jacket,Blue,XL,Denim,3.8,333,48,127,3840.14
Puma,Shirt,Black,M,Polyester,3.2,999,33,178,1264.46
Zara,Shirt,Green,M,Cotton,4.9,682,32,85,1377.39
Puma,Dress,Blue,M,Polyester,3.1,648,15,46,4506.84
Nike,T-shirt,White,L,Cotton,3.6,429,5,195,3874.9
Nike,Jacket,Black,M,Cotton,4.7,603,47,75,4587.03
Zara,Jeans,Blue,S,Cotton,4.6,494,23,37,3914.22
Zara,Jacket,Black,XL,Polyester,3,668,13,163,3187.2
H&M,Jeans,Blue,XL,Cotton,4.5,760,31,168,3443.6
H&M,T-shirt,Red,S,Polyester,3.6,421,38,196,4501.08
Puma,Jeans,Black,L,Wool,3.7,945,48,140,3104.63
Zara,Dress,White,L,Denim,2.8,93,8,86,3345.76
Nike,Dress,White,XL,Denim,2.7,122,40,57,1204.15
H&M,Dress,Green,M,Cotton,4.3,746,22,49,2632.65
H&M,Dress,Blue,L,Polyester,3.7,341,19,29,3723.79
Nike,Jacket,Black,L,Denim,3.6,387,55,189,1719.24
H&M,T-shirt,Green,S,Polyester,4.3,764,17,100,1410.14
Puma,Jeans,Black,S,Polyester,4.4,664,23,24,1912.22
Zara,Jeans,Blue,M,Cotton,2.9,50,53,111,1586.75
Nike,Dress,White,L,Denim,4,944,10,154,1467.11
Zara,Dress,Red,L,Cotton,2.8,779,52,178,2411.83
H&M,Shirt,White,S,Cotton,4.4,968,16,184,4585.27
H&M,T-shirt,Green,L,Denim,4.1,806,55,125,2781.77
Nike,Jacket,Red,XL,Denim,4.9,114,41,122,1345.64
Puma,Jeans,Green,S,Wool,2.7,211,21,46,846.37
Adidas,Shirt,Blue,M,Wool,2.6,459,27,117,3632.7
Nike,Shirt,Red,S,Polyester,3.2,828,30,38,2222.59
Adidas,Jeans,Green,L,Denim,3.2,852,33,15,4198.24
Adidas,Jacket,Blue,M,Wool,3.1,982,37,21,3467.8
Puma,Shirt,White,S,Polyester,4.8,275,31,53,4083.09
Adidas,Shirt,Blue,XL,Polyester,3.1,919,29,148,1723.76
Adidas,T-shirt,Black,XL,Polyester,3.2,219,59,199,3615.62
Puma,Jacket,Blue,S,Wool,4.4,572,14,15,1688.28
Adidas,Shirt,Blue,XL,Denim,3.6,127,51,58,4725.81
Adidas,Jacket,Black,XL,Cotton,4.4,722,27,30,3363.68
Adidas,Jeans,Green,XL,Polyester,2.7,386,25,169,1960.3
Nike,Dress,Green,M,Wool,3.7,560,25,31,1712.8
Nike,Shirt,Blue,XL,Wool,2.6,549,47,186,1359.17
Nike,T-shirt,Black,XL,Cotton,2.7,780,17,161,3625.88
Puma,Jeans,Black,XL,Cotton,4.8,93,41,8,1484.22
H&M,Jacket,White,M,Wool,2.8,463,37,138,3178.86
Adidas,Jeans,Green,S,Denim,3.8,676,28,9,1690.86
Adidas,Shirt,Red,L,Cotton,3.5,638,48,16,3478.86
Puma,Jacket,Green,XL,Wool,3.4,523,15,67,4167.23
Adidas,Dress,Green,S,Cotton,4.7,614,21,47,4001.11
Nike,Jeans,White,XL,Denim,2.6,687,8,179,3923.83
H&M,Shirt,Red,M,Polyester,4.2,396,51,110,1344.75
Zara,T-shirt,White,S,Cotton,4.9,921,29,152,897.73
Adidas,Jacket,Red,M,Denim,3.9,359,34,122,3645.27
Nike,Jeans,Blue,XL,Wool,4.8,305,13,148,2157.56
Zara,Jeans,Red,XL,Cotton,2.6,267,25,100,2445.56
H&M,Dress,White,M,Cotton,3.5,90,24,101,640.17
Zara,Dress,Green,L,Wool,3.2,946,23,64,1668.09
Nike,T-shirt,Red,M,Polyester,4.3,277,23,190,651.54
Zara,T-shirt,Red,XL,Wool,5,428,16,50,4456.34
Puma,Shirt,Black,M,Cotton,3.1,244,41,35,1595.29
Zara,Shirt,Green,L,Wool,4.1,842,46,80,3008.02
Adidas,T-shirt,Blue,M,Denim,3,320,21,126,675.41
Adidas,T-shirt,White,L,Wool,3.9,822,41,87,3500.81
Puma,Jacket,Blue,L,Cotton,3.7,984,58,193,1953.62
Nike,Dress,Green,M,Wool,4.9,995,52,103,4540.64
Adidas,Shirt,Red,M,Polyester,4,366,43,14,4496.53
H&M,Dress,Red,S,Wool,3.4,222,32,95,1963.81
Adidas,Dress,Green,XL,Polyester,2.8,583,45,166,4554.32
Adidas,T-shirt,Red,L,Denim,2.9,58,39,122,4982.71
Nike,Jacket,Red,S,Polyester,3.1,136,51,197,4214.37
Zara,Jeans,Red,M,Wool,3.1,232,52,0,4301.92
Adidas,Jacket,White,XL,Cotton,4.6,930,22,150,1620.54
Puma,Jacket,White,S,Polyester,3.9,288,18,121,3095.16
Zara,Dress,Black,L,Denim,3.8,417,39,166,802.65
H&M,Jacket,Blue,S,Polyester,2.8,514,48,125,927.13
Nike,Shirt,Green,L,Polyester,4.7,303,45,56,4995.02
H&M,Dress,Green,M,Polyester,4.3,805,11,80,1969.88
Zara,Shirt,Green,XL,Denim,2.7,286,45,161,3866.83
Zara,Jeans,Black,XL,Wool,4.3,447,17,168,4129.99
Zara,Dress,White,XL,Polyester,3.9,116,22,72,4361.1
H&M,Jeans,Black,M,Polyester,2.7,667,41,140,4989.33
Zara,Dress,Green,L,Cotton,3.6,429,17,69,1586.73
H&M,T-shirt,Blue,M,Denim,3.7,620,40,5,681.58
Zara,Jacket,Red,XL,Polyester,2.9,438,35,83,2350.36
Puma,T-shirt,White,M,Denim,4.9,384,6,51,1085.36
Zara,Jeans,White,M,Polyester,4.6,82,20,2,600.92
H&M,Jacket,Black,M,Wool,4.2,958,13,80,2121.92
Adidas,Dress,White,L,Wool,3.7,643,13,62,4026.82
Zara,Jacket,Green,S,Polyester,3.5,39,42,48,3047.81
Adidas,Shirt,Green,S,Wool,4.1,197,15,75,1907.5
Puma,Jacket,Black,M,Polyester,3.9,373,58,111,3444.54
Nike,Shirt,Green,S,Wool,2.7,875,26,174,1544.08
Puma,Jacket,Blue,S,Cotton,3.8,809,37,108,564.72
Zara,Shirt,Black,M,Cotton,4.5,460,40,182,3939.59
Adidas,Jeans,Blue,M,Cotton,3.6,204,49,191,3306.84
Adidas,T-shirt,Red,XL,Denim,2.6,165,27,64,3930.36
H&M,Dress,Blue,S,Denim,4.5,181,49,80,675.22
Adidas,Jacket,Red,L,Cotton,3,856,49,194,4267.04
H&M,T-shirt,Red,M,Denim,3.1,50,38,14,3287.87
Nike,Dress,Blue,XL,Wool,2.9,72,13,99,3035.28
Zara,Dress,Black,L,Polyester,3.3,32,28,31,3310.76
H&M,Shirt,Green,S,Polyester,4.4,369,12,95,4389.95
Nike,Jeans,Green,XL,Polyester,3.8,84,11,127,3141.21
Adidas,Jeans,Red,M,Cotton,3,569,40,195,3114.28
Adidas,T-shirt,Red,L,Denim,4.7,681,22,145,4958.06
Nike,Jeans,Black,M,Wool,4.7,834,7,112,3905.29
Adidas,Jacket,White,S,Wool,4.7,127,32,82,2490.32
Nike,Jeans,Blue,L,Cotton,3.1,621,10,42,3683.29
H&M,T-shirt,Red,S,Wool,3.6,389,48,115,2251.54
H&M,Jeans,Green,S,Wool,5,938,48,162,1529.94
Nike,Jacket,Black,XL,Wool,4.4,929,25,77,3185.83
H&M,Shirt,Blue,M,Wool,2.6,688,32,57,4676.82
H&M,T-shirt,Black,L,Denim,2.7,299,44,32,4681.13
H&M,Shirt,Blue,S,Wool,3.7,449,58,13,2038.57
Puma,Shirt,Blue,S,Polyester,4.8,677,58,161,2874.55
Zara,Shirt,Red,L,Cotton,3.8,942,5,188,1452.36
Adidas,Dress,Black,S,Denim,3.7,16,40,131,4980.34
Puma,Dress,Black,XL,Wool,2.8,205,25,58,4915.03
H&M,Shirt,Green,XL,Denim,4.1,430,47,156,3422.79
Nike,T-shirt,Green,XL,Wool,4.6,577,39,82,4119.86
H&M,Jacket,Red,XL,Polyester,3.5,842,17,133,3717.95
Zara,Jacket,Red,S,Cotton,4.4,202,53,120,3169.21
H&M,Jeans,White,L,Wool,4.9,568,58,176,740.07
Nike,T-shirt,Green,L,Wool,3,157,58,167,2546.44
Zara,Dress,Blue,L,Wool,3.8,796,14,82,3536.54
H&M,Shirt,Black,L,Wool,3.2,678,57,192,3548.89
Zara,Jeans,Red,M,Cotton,4.5,211,48,196,2179.05
Adidas,Jacket,Black,L,Cotton,3.9,453,51,26,4737.61
Adidas,Dress,Black,M,Polyester,4.1,923,57,79,1253.11
H&M,Dress,White,M,Cotton,4.5,997,14,133,2751.62
